Episode,Reward,Average_Reward,Episode_Length
456,-232.0,-149.0,0.005
457,-153.0,-149.0,0.005
458,-166.0,-149.0,0.005
459,-191.0,-149.0,0.005
460,-207.0,-149.0,0.005
461,-198.0,-149.0,0.005
462,-185.0,-149.0,0.005
463,-125.0,-125.0,0.005
464,-230.0,-125.0,0.005
465,-127.0,-125.0,0.005
466,-197.0,-125.0,0.005
467,-191.0,-125.0,0.005
468,-196.0,-125.0,0.005
469,-188.0,-125.0,0.005
470,-222.0,-125.0,0.005
471,-156.0,-125.0,0.005
472,-198.0,-125.0,0.005
473,-151.0,-125.0,0.005
474,-193.0,-125.0,0.005
475,-160.0,-125.0,0.005
476,-165.0,-125.0,0.005
477,-153.0,-125.0,0.005
478,-149.0,-125.0,0.005
479,-241.0,-125.0,0.005
480,-166.0,-125.0,0.005
481,-186.0,-125.0,0.005
482,-201.0,-125.0,0.005
483,-156.0,-125.0,0.005
484,-258.0,-125.0,0.005
485,-153.0,-125.0,0.005
486,-184.0,-125.0,0.005
487,-203.0,-125.0,0.005
488,-158.0,-125.0,0.005
489,-181.0,-125.0,0.005
490,-185.0,-125.0,0.005
491,-183.0,-125.0,0.005
492,-191.0,-125.0,0.005
493,-155.0,-125.0,0.005
494,-155.0,-125.0,0.005
495,-121.0,-121.0,0.005
496,-153.0,-121.0,0.005
497,-170.0,-121.0,0.005
498,-193.0,-121.0,0.005
499,-169.0,-121.0,0.005
500,-163.0,-121.0,0.005
501,-198.0,-121.0,0.005
502,-121.0,-121.0,0.005
503,-215.0,-121.0,0.005
504,-199.0,-121.0,0.005
505,-156.0,-121.0,0.005
506,-120.0,-120.0,0.005
507,-160.0,-120.0,0.005
508,-227.0,-120.0,0.005
509,-181.0,-120.0,0.005
510,-150.0,-120.0,0.005
511,-220.0,-120.0,0.005
512,-160.0,-120.0,0.005
513,-181.0,-120.0,0.005
514,-150.0,-120.0,0.005
515,-154.0,-120.0,0.005
516,-205.0,-120.0,0.005
517,-188.0,-120.0,0.005
518,-191.0,-120.0,0.005
519,-123.0,-120.0,0.005
520,-201.0,-120.0,0.005
521,-182.0,-120.0,0.005
522,-166.0,-120.0,0.005
523,-151.0,-120.0,0.005
524,-155.0,-120.0,0.005
525,-180.0,-120.0,0.005
526,-145.0,-120.0,0.005
527,-156.0,-120.0,0.005
528,-188.0,-120.0,0.005
529,-196.0,-120.0,0.005
530,-187.0,-120.0,0.005
531,-151.0,-120.0,0.005
532,-158.0,-120.0,0.005
533,-184.0,-120.0,0.005
534,-192.0,-120.0,0.005
535,-192.0,-120.0,0.005
536,-188.0,-120.0,0.005
537,-157.0,-120.0,0.005
538,-118.0,-118.0,0.005
539,-241.0,-118.0,0.005
540,-206.0,-118.0,0.005
541,-187.0,-118.0,0.005
542,-194.0,-118.0,0.005
543,-188.0,-118.0,0.005
544,-122.0,-118.0,0.005
545,-148.0,-118.0,0.005
546,-115.0,-115.0,0.005
547,-182.0,-115.0,0.005
548,-188.0,-115.0,0.005
549,-186.0,-115.0,0.005
550,-153.0,-115.0,0.005
551,-187.0,-115.0,0.005
552,-192.0,-115.0,0.005
553,-161.0,-115.0,0.005
554,-188.0,-115.0,0.005
555,-155.0,-115.0,0.005
556,-198.0,-115.0,0.005
557,-132.0,-115.0,0.005
558,-150.0,-115.0,0.005
559,-158.0,-115.0,0.005
560,-189.0,-115.0,0.005
561,-182.0,-115.0,0.005
562,-149.0,-115.0,0.005
563,-153.0,-115.0,0.005
564,-166.0,-115.0,0.005
565,-154.0,-115.0,0.005
566,-227.0,-115.0,0.005
567,-158.0,-115.0,0.005
568,-148.0,-115.0,0.005
569,-156.0,-115.0,0.005
570,-160.0,-115.0,0.005
571,-201.0,-115.0,0.005
572,-200.0,-115.0,0.005
573,-155.0,-115.0,0.005
574,-195.0,-115.0,0.005
575,-187.0,-115.0,0.005
576,-146.0,-115.0,0.005
577,-219.0,-115.0,0.005
578,-176.0,-115.0,0.005
