episode,total_reward,best_reward,agent.epsilon
278,-1050.0,-336.0,0.005
279,-660.0,-336.0,0.005
280,-411.0,-336.0,0.005
281,-673.0,-336.0,0.005
282,-470.0,-336.0,0.005
283,-728.0,-336.0,0.005
284,-978.0,-336.0,0.005
285,-532.0,-336.0,0.005
286,-747.0,-336.0,0.005
287,-522.0,-336.0,0.005
288,-701.0,-336.0,0.005
289,-764.0,-336.0,0.005
290,-504.0,-336.0,0.005
291,-590.0,-336.0,0.005
292,-653.0,-336.0,0.005
293,-860.0,-336.0,0.005
294,-548.0,-336.0,0.005
295,-696.0,-336.0,0.005
296,-785.0,-336.0,0.005
297,-607.0,-336.0,0.005
298,-544.0,-336.0,0.005
299,-611.0,-336.0,0.005
300,-663.0,-336.0,0.005
301,-502.0,-336.0,0.005
302,-754.0,-336.0,0.005
303,-789.0,-336.0,0.005
304,-522.0,-336.0,0.005
305,-602.0,-336.0,0.005
306,-564.0,-336.0,0.005
307,-730.0,-336.0,0.005
308,-737.0,-336.0,0.005
309,-632.0,-336.0,0.005
310,-484.0,-336.0,0.005
311,-573.0,-336.0,0.005
312,-713.0,-336.0,0.005
313,-595.0,-336.0,0.005
314,-740.0,-336.0,0.005
315,-486.0,-336.0,0.005
316,-425.0,-336.0,0.005
317,-768.0,-336.0,0.005
318,-610.0,-336.0,0.005
319,-495.0,-336.0,0.005
320,-803.0,-336.0,0.005
321,-579.0,-336.0,0.005
322,-768.0,-336.0,0.005
323,-860.0,-336.0,0.005
324,-663.0,-336.0,0.005
325,-565.0,-336.0,0.005
326,-658.0,-336.0,0.005
327,-600.0,-336.0,0.005
328,-504.0,-336.0,0.005
329,-738.0,-336.0,0.005
330,-449.0,-336.0,0.005
331,-570.0,-336.0,0.005
332,-623.0,-336.0,0.005
333,-773.0,-336.0,0.005
334,-696.0,-336.0,0.005
335,-597.0,-336.0,0.005
336,-943.0,-336.0,0.005
337,-585.0,-336.0,0.005
338,-511.0,-336.0,0.005
339,-662.0,-336.0,0.005
340,-486.0,-336.0,0.005
341,-792.0,-336.0,0.005
342,-576.0,-336.0,0.005
343,-572.0,-336.0,0.005
344,-570.0,-336.0,0.005
345,-515.0,-336.0,0.005
346,-665.0,-336.0,0.005
347,-552.0,-336.0,0.005
348,-681.0,-336.0,0.005
349,-715.0,-336.0,0.005
350,-592.0,-336.0,0.005
351,-581.0,-336.0,0.005
352,-777.0,-336.0,0.005
353,-670.0,-336.0,0.005
354,-479.0,-336.0,0.005
355,-535.0,-336.0,0.005
356,-481.0,-336.0,0.005
357,-599.0,-336.0,0.005
358,-822.0,-336.0,0.005
359,-413.0,-336.0,0.005
360,-473.0,-336.0,0.005
361,-561.0,-336.0,0.005
362,-641.0,-336.0,0.005
363,-665.0,-336.0,0.005
364,-503.0,-336.0,0.005
365,-851.0,-336.0,0.005
366,-393.0,-336.0,0.005
367,-1158.0,-336.0,0.005
368,-437.0,-336.0,0.005
369,-502.0,-336.0,0.005
370,-321.0,-321.0,0.005
371,-616.0,-321.0,0.005
372,-655.0,-321.0,0.005
373,-568.0,-321.0,0.005
374,-592.0,-321.0,0.005
375,-627.0,-321.0,0.005
376,-488.0,-321.0,0.005
377,-460.0,-321.0,0.005
378,-544.0,-321.0,0.005
379,-829.0,-321.0,0.005
380,-501.0,-321.0,0.005
381,-637.0,-321.0,0.005
382,-520.0,-321.0,0.005
383,-492.0,-321.0,0.005
384,-493.0,-321.0,0.005
385,-589.0,-321.0,0.005
386,-590.0,-321.0,0.005
387,-495.0,-321.0,0.005
388,-626.0,-321.0,0.005
389,-608.0,-321.0,0.005
390,-563.0,-321.0,0.005
391,-565.0,-321.0,0.005
392,-554.0,-321.0,0.005
393,-865.0,-321.0,0.005
394,-429.0,-321.0,0.005
395,-442.0,-321.0,0.005
396,-575.0,-321.0,0.005
397,-921.0,-321.0,0.005
398,-413.0,-321.0,0.005
399,-497.0,-321.0,0.005
400,-704.0,-321.0,0.005
401,-406.0,-321.0,0.005
402,-618.0,-321.0,0.005
403,-595.0,-321.0,0.005
404,-482.0,-321.0,0.005
405,-414.0,-321.0,0.005
406,-692.0,-321.0,0.005
407,-494.0,-321.0,0.005
408,-610.0,-321.0,0.005
409,-521.0,-321.0,0.005
410,-525.0,-321.0,0.005
411,-425.0,-321.0,0.005
412,-487.0,-321.0,0.005
413,-686.0,-321.0,0.005
414,-691.0,-321.0,0.005
415,-409.0,-321.0,0.005
416,-576.0,-321.0,0.005
417,-619.0,-321.0,0.005
418,-405.0,-321.0,0.005
419,-408.0,-321.0,0.005
420,-572.0,-321.0,0.005
421,-589.0,-321.0,0.005
422,-537.0,-321.0,0.005
423,-662.0,-321.0,0.005
424,-331.0,-321.0,0.005
425,-418.0,-321.0,0.005
426,-492.0,-321.0,0.005
427,-676.0,-321.0,0.005
428,-327.0,-321.0,0.005
429,-728.0,-321.0,0.005
430,-518.0,-321.0,0.005
431,-422.0,-321.0,0.005
432,-671.0,-321.0,0.005
433,-449.0,-321.0,0.005
434,-608.0,-321.0,0.005
435,-492.0,-321.0,0.005
436,-440.0,-321.0,0.005
437,-679.0,-321.0,0.005
438,-416.0,-321.0,0.005
439,-481.0,-321.0,0.005
440,-537.0,-321.0,0.005
441,-590.0,-321.0,0.005
442,-385.0,-321.0,0.005
443,-420.0,-321.0,0.005
444,-673.0,-321.0,0.005
445,-417.0,-321.0,0.005
446,-551.0,-321.0,0.005
447,-468.0,-321.0,0.005
448,-699.0,-321.0,0.005
449,-318.0,-318.0,0.005
450,-682.0,-318.0,0.005
451,-487.0,-318.0,0.005
452,-587.0,-318.0,0.005
453,-486.0,-318.0,0.005
454,-589.0,-318.0,0.005
455,-411.0,-318.0,0.005
456,-570.0,-318.0,0.005
457,-519.0,-318.0,0.005
458,-395.0,-318.0,0.005
459,-592.0,-318.0,0.005
460,-846.0,-318.0,0.005
461,-407.0,-318.0,0.005
462,-417.0,-318.0,0.005
463,-632.0,-318.0,0.005
464,-613.0,-318.0,0.005
465,-533.0,-318.0,0.005
466,-603.0,-318.0,0.005
467,-457.0,-318.0,0.005
468,-445.0,-318.0,0.005
469,-488.0,-318.0,0.005
470,-523.0,-318.0,0.005
471,-413.0,-318.0,0.005
472,-710.0,-318.0,0.005
473,-477.0,-318.0,0.005
474,-447.0,-318.0,0.005
475,-513.0,-318.0,0.005
476,-537.0,-318.0,0.005
477,-414.0,-318.0,0.005
478,-409.0,-318.0,0.005
479,-670.0,-318.0,0.005
480,-716.0,-318.0,0.005
481,-532.0,-318.0,0.005
482,-502.0,-318.0,0.005
483,-393.0,-318.0,0.005
484,-484.0,-318.0,0.005
485,-446.0,-318.0,0.005
486,-499.0,-318.0,0.005
487,-593.0,-318.0,0.005
488,-429.0,-318.0,0.005
489,-395.0,-318.0,0.005
490,-417.0,-318.0,0.005
491,-709.0,-318.0,0.005
492,-499.0,-318.0,0.005
493,-475.0,-318.0,0.005
494,-680.0,-318.0,0.005
495,-408.0,-318.0,0.005
496,-598.0,-318.0,0.005
497,-568.0,-318.0,0.005
498,-666.0,-318.0,0.005
499,-417.0,-318.0,0.005
500,-436.0,-318.0,0.005
501,-328.0,-318.0,0.005
502,-485.0,-318.0,0.005
503,-447.0,-318.0,0.005
504,-722.0,-318.0,0.005
505,-543.0,-318.0,0.005
506,-555.0,-318.0,0.005
507,-362.0,-318.0,0.005
508,-495.0,-318.0,0.005
509,-530.0,-318.0,0.005
510,-443.0,-318.0,0.005
511,-732.0,-318.0,0.005
512,-377.0,-318.0,0.005
513,-469.0,-318.0,0.005
514,-673.0,-318.0,0.005
515,-498.0,-318.0,0.005
516,-594.0,-318.0,0.005
517,-322.0,-318.0,0.005
518,-621.0,-318.0,0.005
519,-688.0,-318.0,0.005
520,-645.0,-318.0,0.005
521,-497.0,-318.0,0.005
522,-338.0,-318.0,0.005
523,-650.0,-318.0,0.005
524,-408.0,-318.0,0.005
525,-454.0,-318.0,0.005
526,-531.0,-318.0,0.005
527,-400.0,-318.0,0.005
528,-535.0,-318.0,0.005
529,-513.0,-318.0,0.005
530,-440.0,-318.0,0.005
531,-537.0,-318.0,0.005
532,-784.0,-318.0,0.005
533,-478.0,-318.0,0.005
534,-467.0,-318.0,0.005
535,-640.0,-318.0,0.005
536,-539.0,-318.0,0.005
537,-648.0,-318.0,0.005
538,-373.0,-318.0,0.005
539,-452.0,-318.0,0.005
540,-572.0,-318.0,0.005
541,-307.0,-307.0,0.005
542,-581.0,-307.0,0.005
543,-529.0,-307.0,0.005
544,-604.0,-307.0,0.005
545,-374.0,-307.0,0.005
546,-509.0,-307.0,0.005
547,-423.0,-307.0,0.005
548,-637.0,-307.0,0.005
549,-482.0,-307.0,0.005
550,-488.0,-307.0,0.005
551,-495.0,-307.0,0.005
552,-502.0,-307.0,0.005
553,-383.0,-307.0,0.005
554,-486.0,-307.0,0.005
555,-455.0,-307.0,0.005
556,-637.0,-307.0,0.005
557,-513.0,-307.0,0.005
558,-555.0,-307.0,0.005
559,-618.0,-307.0,0.005
560,-371.0,-307.0,0.005
561,-366.0,-307.0,0.005
562,-529.0,-307.0,0.005
563,-406.0,-307.0,0.005
564,-452.0,-307.0,0.005
565,-690.0,-307.0,0.005
566,-513.0,-307.0,0.005
567,-452.0,-307.0,0.005
568,-605.0,-307.0,0.005
569,-322.0,-307.0,0.005
570,-566.0,-307.0,0.005
571,-419.0,-307.0,0.005
572,-398.0,-307.0,0.005
573,-627.0,-307.0,0.005
574,-489.0,-307.0,0.005
575,-493.0,-307.0,0.005
576,-454.0,-307.0,0.005
577,-472.0,-307.0,0.005
578,-482.0,-307.0,0.005
579,-464.0,-307.0,0.005
580,-476.0,-307.0,0.005
581,-780.0,-307.0,0.005
582,-386.0,-307.0,0.005
583,-463.0,-307.0,0.005
584,-329.0,-307.0,0.005
585,-580.0,-307.0,0.005
586,-464.0,-307.0,0.005
587,-457.0,-307.0,0.005
588,-486.0,-307.0,0.005
589,-558.0,-307.0,0.005
590,-405.0,-307.0,0.005
591,-526.0,-307.0,0.005
592,-574.0,-307.0,0.005
593,-506.0,-307.0,0.005
594,-401.0,-307.0,0.005
595,-531.0,-307.0,0.005
596,-579.0,-307.0,0.005
597,-405.0,-307.0,0.005
598,-358.0,-307.0,0.005
599,-403.0,-307.0,0.005
600,-687.0,-307.0,0.005
601,-668.0,-307.0,0.005
602,-440.0,-307.0,0.005
603,-370.0,-307.0,0.005
604,-458.0,-307.0,0.005
605,-409.0,-307.0,0.005
606,-686.0,-307.0,0.005
607,-360.0,-307.0,0.005
608,-403.0,-307.0,0.005
609,-577.0,-307.0,0.005
610,-315.0,-307.0,0.005
611,-364.0,-307.0,0.005
612,-528.0,-307.0,0.005
613,-414.0,-307.0,0.005
614,-522.0,-307.0,0.005
615,-405.0,-307.0,0.005
616,-427.0,-307.0,0.005
617,-404.0,-307.0,0.005
618,-334.0,-307.0,0.005
619,-612.0,-307.0,0.005
620,-518.0,-307.0,0.005
621,-501.0,-307.0,0.005
622,-405.0,-307.0,0.005
623,-419.0,-307.0,0.005
624,-498.0,-307.0,0.005
625,-542.0,-307.0,0.005
626,-655.0,-307.0,0.005
627,-420.0,-307.0,0.005
628,-329.0,-307.0,0.005
629,-435.0,-307.0,0.005
630,-644.0,-307.0,0.005
631,-373.0,-307.0,0.005
632,-407.0,-307.0,0.005
633,-575.0,-307.0,0.005
634,-409.0,-307.0,0.005
635,-351.0,-307.0,0.005
636,-508.0,-307.0,0.005
637,-426.0,-307.0,0.005
638,-461.0,-307.0,0.005
639,-454.0,-307.0,0.005
640,-629.0,-307.0,0.005
641,-517.0,-307.0,0.005
642,-446.0,-307.0,0.005
643,-413.0,-307.0,0.005
644,-405.0,-307.0,0.005
645,-320.0,-307.0,0.005
646,-422.0,-307.0,0.005
647,-467.0,-307.0,0.005
648,-425.0,-307.0,0.005
649,-563.0,-307.0,0.005
650,-522.0,-307.0,0.005
651,-400.0,-307.0,0.005
652,-481.0,-307.0,0.005
653,-496.0,-307.0,0.005
654,-411.0,-307.0,0.005
655,-534.0,-307.0,0.005
656,-407.0,-307.0,0.005
657,-321.0,-307.0,0.005
658,-511.0,-307.0,0.005
659,-563.0,-307.0,0.005
660,-402.0,-307.0,0.005
661,-485.0,-307.0,0.005
662,-476.0,-307.0,0.005
663,-588.0,-307.0,0.005
664,-325.0,-307.0,0.005
665,-459.0,-307.0,0.005
666,-524.0,-307.0,0.005
667,-539.0,-307.0,0.005
668,-411.0,-307.0,0.005
669,-498.0,-307.0,0.005
670,-400.0,-307.0,0.005
671,-511.0,-307.0,0.005
672,-364.0,-307.0,0.005
673,-318.0,-307.0,0.005
674,-403.0,-307.0,0.005
675,-450.0,-307.0,0.005
676,-519.0,-307.0,0.005
677,-402.0,-307.0,0.005
678,-640.0,-307.0,0.005
679,-424.0,-307.0,0.005
680,-322.0,-307.0,0.005
681,-360.0,-307.0,0.005
682,-535.0,-307.0,0.005
683,-476.0,-307.0,0.005
684,-481.0,-307.0,0.005
685,-520.0,-307.0,0.005
686,-485.0,-307.0,0.005
687,-361.0,-307.0,0.005
688,-412.0,-307.0,0.005
689,-631.0,-307.0,0.005
690,-404.0,-307.0,0.005
691,-444.0,-307.0,0.005
692,-333.0,-307.0,0.005
693,-458.0,-307.0,0.005
694,-493.0,-307.0,0.005
695,-424.0,-307.0,0.005
696,-666.0,-307.0,0.005
697,-372.0,-307.0,0.005
698,-516.0,-307.0,0.005
699,-589.0,-307.0,0.005
700,-625.0,-307.0,0.005
701,-351.0,-307.0,0.005
702,-392.0,-307.0,0.005
703,-438.0,-307.0,0.005
704,-371.0,-307.0,0.005
705,-411.0,-307.0,0.005
706,-527.0,-307.0,0.005
707,-405.0,-307.0,0.005
708,-550.0,-307.0,0.005
709,-514.0,-307.0,0.005
710,-428.0,-307.0,0.005
711,-421.0,-307.0,0.005
712,-449.0,-307.0,0.005
713,-511.0,-307.0,0.005
714,-313.0,-307.0,0.005
715,-454.0,-307.0,0.005
716,-400.0,-307.0,0.005
717,-619.0,-307.0,0.005
718,-488.0,-307.0,0.005
719,-453.0,-307.0,0.005
720,-433.0,-307.0,0.005
721,-448.0,-307.0,0.005
722,-361.0,-307.0,0.005
723,-483.0,-307.0,0.005
724,-457.0,-307.0,0.005
725,-429.0,-307.0,0.005
726,-428.0,-307.0,0.005
727,-422.0,-307.0,0.005
728,-427.0,-307.0,0.005
729,-394.0,-307.0,0.005
730,-571.0,-307.0,0.005
731,-411.0,-307.0,0.005
732,-417.0,-307.0,0.005
733,-331.0,-307.0,0.005
734,-391.0,-307.0,0.005
735,-549.0,-307.0,0.005
736,-416.0,-307.0,0.005
737,-457.0,-307.0,0.005
738,-436.0,-307.0,0.005
739,-598.0,-307.0,0.005
740,-496.0,-307.0,0.005
741,-326.0,-307.0,0.005
742,-445.0,-307.0,0.005
743,-481.0,-307.0,0.005
744,-456.0,-307.0,0.005
745,-446.0,-307.0,0.005
746,-317.0,-307.0,0.005
747,-423.0,-307.0,0.005
748,-611.0,-307.0,0.005
749,-407.0,-307.0,0.005
750,-401.0,-307.0,0.005
751,-403.0,-307.0,0.005
752,-441.0,-307.0,0.005
753,-626.0,-307.0,0.005
754,-475.0,-307.0,0.005
755,-372.0,-307.0,0.005
756,-669.0,-307.0,0.005
757,-316.0,-307.0,0.005
758,-417.0,-307.0,0.005
759,-418.0,-307.0,0.005
760,-492.0,-307.0,0.005
761,-440.0,-307.0,0.005
762,-327.0,-307.0,0.005
763,-529.0,-307.0,0.005
764,-403.0,-307.0,0.005
765,-532.0,-307.0,0.005
766,-419.0,-307.0,0.005
767,-434.0,-307.0,0.005
768,-605.0,-307.0,0.005
769,-392.0,-307.0,0.005
770,-433.0,-307.0,0.005
771,-318.0,-307.0,0.005
772,-420.0,-307.0,0.005
773,-480.0,-307.0,0.005
774,-584.0,-307.0,0.005
775,-589.0,-307.0,0.005
776,-494.0,-307.0,0.005
777,-427.0,-307.0,0.005
778,-433.0,-307.0,0.005
779,-477.0,-307.0,0.005
780,-358.0,-307.0,0.005
781,-642.0,-307.0,0.005
782,-248.0,-248.0,0.005
783,-359.0,-248.0,0.005
784,-399.0,-248.0,0.005
785,-577.0,-248.0,0.005
786,-359.0,-248.0,0.005
787,-340.0,-248.0,0.005
788,-367.0,-248.0,0.005
789,-417.0,-248.0,0.005
790,-407.0,-248.0,0.005
791,-357.0,-248.0,0.005
792,-503.0,-248.0,0.005
793,-315.0,-248.0,0.005
794,-502.0,-248.0,0.005
795,-681.0,-248.0,0.005
