Episode,Reward,Average_Reward,Episode_Length
543,-208.0,-192.0,0.005
544,-242.0,-192.0,0.005
545,-328.0,-192.0,0.005
546,-230.0,-192.0,0.005
547,-233.0,-192.0,0.005
548,-327.0,-192.0,0.005
549,-219.0,-192.0,0.005
550,-287.0,-192.0,0.005
551,-271.0,-192.0,0.005
552,-304.0,-192.0,0.005
553,-216.0,-192.0,0.005
554,-228.0,-192.0,0.005
555,-227.0,-192.0,0.005
556,-237.0,-192.0,0.005
557,-233.0,-192.0,0.005
558,-211.0,-192.0,0.005
559,-234.0,-192.0,0.005
560,-308.0,-192.0,0.005
561,-285.0,-192.0,0.005
562,-236.0,-192.0,0.005
563,-195.0,-192.0,0.005
564,-259.0,-192.0,0.005
565,-242.0,-192.0,0.005
566,-238.0,-192.0,0.005
567,-269.0,-192.0,0.005
568,-240.0,-192.0,0.005
569,-229.0,-192.0,0.005
570,-281.0,-192.0,0.005
571,-317.0,-192.0,0.005
572,-231.0,-192.0,0.005
573,-233.0,-192.0,0.005
574,-254.0,-192.0,0.005
575,-310.0,-192.0,0.005
576,-335.0,-192.0,0.005
577,-233.0,-192.0,0.005
578,-210.0,-192.0,0.005
579,-235.0,-192.0,0.005
580,-267.0,-192.0,0.005
581,-230.0,-192.0,0.005
582,-225.0,-192.0,0.005
583,-234.0,-192.0,0.005
584,-247.0,-192.0,0.005
585,-306.0,-192.0,0.005
586,-365.0,-192.0,0.005
587,-325.0,-192.0,0.005
588,-240.0,-192.0,0.005
589,-273.0,-192.0,0.005
590,-299.0,-192.0,0.005
591,-248.0,-192.0,0.005
592,-272.0,-192.0,0.005
593,-297.0,-192.0,0.005
594,-244.0,-192.0,0.005
595,-359.0,-192.0,0.005
596,-278.0,-192.0,0.005
597,-217.0,-192.0,0.005
598,-272.0,-192.0,0.005
599,-245.0,-192.0,0.005
600,-340.0,-192.0,0.005
601,-281.0,-192.0,0.005
602,-265.0,-192.0,0.005
603,-226.0,-192.0,0.005
604,-199.0,-192.0,0.005
605,-231.0,-192.0,0.005
606,-241.0,-192.0,0.005
607,-274.0,-192.0,0.005
608,-281.0,-192.0,0.005
609,-332.0,-192.0,0.005
610,-283.0,-192.0,0.005
611,-235.0,-192.0,0.005
612,-240.0,-192.0,0.005
613,-241.0,-192.0,0.005
614,-228.0,-192.0,0.005
615,-301.0,-192.0,0.005
616,-266.0,-192.0,0.005
617,-273.0,-192.0,0.005
618,-280.0,-192.0,0.005
619,-243.0,-192.0,0.005
620,-288.0,-192.0,0.005
621,-253.0,-192.0,0.005
622,-231.0,-192.0,0.005
623,-287.0,-192.0,0.005
624,-235.0,-192.0,0.005
625,-225.0,-192.0,0.005
626,-236.0,-192.0,0.005
627,-275.0,-192.0,0.005
628,-268.0,-192.0,0.005
629,-205.0,-192.0,0.005
630,-223.0,-192.0,0.005
631,-272.0,-192.0,0.005
632,-338.0,-192.0,0.005
633,-205.0,-192.0,0.005
634,-241.0,-192.0,0.005
635,-230.0,-192.0,0.005
636,-275.0,-192.0,0.005
637,-269.0,-192.0,0.005
638,-235.0,-192.0,0.005
639,-278.0,-192.0,0.005
640,-272.0,-192.0,0.005
641,-259.0,-192.0,0.005
642,-267.0,-192.0,0.005
643,-227.0,-192.0,0.005
644,-230.0,-192.0,0.005
645,-296.0,-192.0,0.005
646,-264.0,-192.0,0.005
647,-198.0,-192.0,0.005
648,-270.0,-192.0,0.005
649,-232.0,-192.0,0.005
650,-226.0,-192.0,0.005
651,-238.0,-192.0,0.005
652,-265.0,-192.0,0.005
653,-325.0,-192.0,0.005
654,-279.0,-192.0,0.005
655,-229.0,-192.0,0.005
656,-268.0,-192.0,0.005
657,-215.0,-192.0,0.005
658,-234.0,-192.0,0.005
659,-245.0,-192.0,0.005
660,-276.0,-192.0,0.005
661,-232.0,-192.0,0.005
662,-193.0,-192.0,0.005
663,-265.0,-192.0,0.005
664,-308.0,-192.0,0.005
665,-242.0,-192.0,0.005
666,-228.0,-192.0,0.005
667,-275.0,-192.0,0.005
668,-190.0,-190.0,0.005
669,-233.0,-190.0,0.005
670,-199.0,-190.0,0.005
671,-309.0,-190.0,0.005
672,-244.0,-190.0,0.005
673,-230.0,-190.0,0.005
674,-291.0,-190.0,0.005
675,-215.0,-190.0,0.005
676,-201.0,-190.0,0.005
677,-234.0,-190.0,0.005
678,-235.0,-190.0,0.005
679,-286.0,-190.0,0.005
680,-225.0,-190.0,0.005
681,-316.0,-190.0,0.005
682,-212.0,-190.0,0.005
683,-255.0,-190.0,0.005
684,-207.0,-190.0,0.005
685,-228.0,-190.0,0.005
686,-236.0,-190.0,0.005
687,-268.0,-190.0,0.005
688,-222.0,-190.0,0.005
689,-340.0,-190.0,0.005
690,-280.0,-190.0,0.005
691,-233.0,-190.0,0.005
692,-244.0,-190.0,0.005
693,-230.0,-190.0,0.005
694,-196.0,-190.0,0.005
695,-298.0,-190.0,0.005
696,-235.0,-190.0,0.005
697,-228.0,-190.0,0.005
698,-196.0,-190.0,0.005
699,-237.0,-190.0,0.005
700,-280.0,-190.0,0.005
701,-240.0,-190.0,0.005
702,-327.0,-190.0,0.005
703,-194.0,-190.0,0.005
704,-270.0,-190.0,0.005
705,-242.0,-190.0,0.005
706,-227.0,-190.0,0.005
707,-226.0,-190.0,0.005
708,-201.0,-190.0,0.005
709,-236.0,-190.0,0.005
710,-276.0,-190.0,0.005
711,-281.0,-190.0,0.005
712,-233.0,-190.0,0.005
713,-265.0,-190.0,0.005
714,-219.0,-190.0,0.005
715,-242.0,-190.0,0.005
716,-268.0,-190.0,0.005
717,-191.0,-190.0,0.005
718,-239.0,-190.0,0.005
719,-337.0,-190.0,0.005
720,-289.0,-190.0,0.005
721,-231.0,-190.0,0.005
722,-245.0,-190.0,0.005
723,-297.0,-190.0,0.005
724,-272.0,-190.0,0.005
725,-234.0,-190.0,0.005
726,-240.0,-190.0,0.005
727,-209.0,-190.0,0.005
728,-225.0,-190.0,0.005
729,-161.0,-161.0,0.005
730,-245.0,-161.0,0.005
731,-229.0,-161.0,0.005
732,-229.0,-161.0,0.005
733,-198.0,-161.0,0.005
734,-192.0,-161.0,0.005
735,-245.0,-161.0,0.005
736,-268.0,-161.0,0.005
737,-321.0,-161.0,0.005
738,-190.0,-161.0,0.005
739,-281.0,-161.0,0.005
740,-233.0,-161.0,0.005
741,-192.0,-161.0,0.005
742,-227.0,-161.0,0.005
743,-232.0,-161.0,0.005
744,-227.0,-161.0,0.005
745,-258.0,-161.0,0.005
746,-307.0,-161.0,0.005
747,-241.0,-161.0,0.005
748,-227.0,-161.0,0.005
749,-175.0,-161.0,0.005
750,-249.0,-161.0,0.005
751,-203.0,-161.0,0.005
752,-173.0,-161.0,0.005
753,-276.0,-161.0,0.005
754,-194.0,-161.0,0.005
755,-221.0,-161.0,0.005
756,-193.0,-161.0,0.005
757,-238.0,-161.0,0.005
758,-264.0,-161.0,0.005
759,-275.0,-161.0,0.005
760,-224.0,-161.0,0.005
761,-230.0,-161.0,0.005
762,-204.0,-161.0,0.005
763,-279.0,-161.0,0.005
764,-199.0,-161.0,0.005
765,-233.0,-161.0,0.005
766,-268.0,-161.0,0.005
767,-199.0,-161.0,0.005
768,-162.0,-161.0,0.005
769,-200.0,-161.0,0.005
770,-283.0,-161.0,0.005
771,-202.0,-161.0,0.005
772,-268.0,-161.0,0.005
773,-188.0,-161.0,0.005
774,-190.0,-161.0,0.005
775,-232.0,-161.0,0.005
776,-216.0,-161.0,0.005
777,-193.0,-161.0,0.005
778,-200.0,-161.0,0.005
779,-220.0,-161.0,0.005
780,-269.0,-161.0,0.005
781,-218.0,-161.0,0.005
782,-257.0,-161.0,0.005
783,-193.0,-161.0,0.005
784,-193.0,-161.0,0.005
785,-152.0,-152.0,0.005
786,-197.0,-152.0,0.005
787,-249.0,-152.0,0.005
788,-193.0,-152.0,0.005
789,-224.0,-152.0,0.005
790,-264.0,-152.0,0.005
791,-196.0,-152.0,0.005
792,-235.0,-152.0,0.005
793,-232.0,-152.0,0.005
794,-245.0,-152.0,0.005
795,-191.0,-152.0,0.005
796,-236.0,-152.0,0.005
797,-317.0,-152.0,0.005
798,-231.0,-152.0,0.005
799,-217.0,-152.0,0.005
800,-199.0,-152.0,0.005
801,-245.0,-152.0,0.005
802,-228.0,-152.0,0.005
803,-229.0,-152.0,0.005
804,-195.0,-152.0,0.005
805,-197.0,-152.0,0.005
806,-326.0,-152.0,0.005
807,-246.0,-152.0,0.005
808,-268.0,-152.0,0.005
809,-190.0,-152.0,0.005
810,-236.0,-152.0,0.005
811,-231.0,-152.0,0.005
812,-190.0,-152.0,0.005
813,-199.0,-152.0,0.005
814,-236.0,-152.0,0.005
